movie|celeb|review
Antichrist|Lars von Trier|A grieving couple retreat to 'Eden', their isolated cabin in the woods, where they hope to repair their broken hearts and troubled marriage. But nature takes its course and things go from bad to worse.
The Illusionist 2009|Sylvain Chomet|The Illusionist is one of a dying breed of stage entertainers. With emerging rock stars stealing his thunder in the late 1950s, he is forced to accept increasingly obscure assignments in fringe theatres, at garden parties and in bars and cafés. Then, while performing in a village pub off the west coast of Scotland, he encounters Alice, an innocent young girl, who will change his life forever. Watching his performance for the excited villagers who are celebrating the arrival of electricity on their remote island, Alice is awestruck by his show and believes his tricks are real magic. Though they don‟t speak the same language, the two lonely strangers quickly bond through small kindnesses. Fascinated by The Illusionist, Alice stows away on his departing ship and follows him to Edinburgh. There, they quickly fall into a father - daughter relationship, with Alice keeping their home at a boarding house for vaudevillians, while he goes to work in a small local theatre. Enchanted by her enthusiasm for his act, The Illusionist rewards Alice with increasingly lavish gifts he has 'conjured' into existence. Desperate not to disappoint her, he cannot bring himself to reveal that magic does not exist and that he‟s driving himself to ruin working all night jobs to buy her gifts. As The Illusionist grows older, Alice grows up. She falls in love with a young man and is no longer so enchanted by The Illusionist‟s conjuring. She moves on with her life, and The Illusionist no longer has to pretend. Untangled from his own web of deceit, he resumes his life as a much wiser man. -- (C) Sony Pictures Classics
Puccini For Beginners|Maria Maggenti|A woman who loves opera finds herself playing a romantic version of musical chairs in this independent comedy from writer and director Maria Maggenti. Allegra (Elizabeth Reaser) is a writer who has been involved with Samantha (Julianne Nicholson) for some time, but Allegra just isn't willing to make a commitment. Eventually, Samantha decides she's had enough, and she not only leaves Allegra, she jumps to the other side of the gender divide and starts dating a man. While Allegra is none too pleased with Samantha's actions, she unwittingly finds herself following suit when she meets Philip (Justin Kirk), a college professor, at a party. After a few cocktails, Allegra and Philip end up in bed, and while Allegra is content to leave it as a one-night stand, Philip has different ideas, and goes so far as to dump his girlfriend to pursue a relationship with Allegra, even though she's made it clear to him she's not at all serious about him. At the same time, Allegra strikes up a new romance with Grace (Gretchen Mol), but she doesn't know all that much about Grace's previous lovers -- who happen to include Philip. Puccini for Beginners was screened in competition at the 2006 Sundance Film Festival. ~ Mark Deming, Rovi
My Man Adam|Roger L. Simon|A teenage daydreamer (Raphael Sbarge) can't get his mind off a beautiful girl he's made up as his dream girl. He's doubly shocked when a new student (Page Hannah) is identical to the girl of his dreams. Struggling to win her affection, he's unsuccessful until a complex conspiracy throws them both into jeopardy.
Judge Dredd|Danny Cannon|This action-filled sci-fi spectacle is set in a grim, futuristic world in which authoritarianism is the only way left to ensure democracy. The tale, based on a popular British comic book character, is set in the 22nd century after most of the Earth has become an uninhabitable desert wasteland. In North America, all of the people live in one of three giant cities. These cities are overpopulated and teetering on the brink of anarchy. Trying to maintain some semblance of order are the judges, lawmen riding air bikes, who mete out swift, and frequently fatal justice. The premiere judge of seething Mega-City, built atop the ruins of New York, is Dredd. His daily crime-busting routine is upset one day when the nefarious Rico breaks out of the high-security Aspen Penal Colony and returns to get revenge on the one who ratted on him; he also wants to make Mega-City an even more violent place. Upon his arrival, Rico immediately begins working to frame Dredd. He succeeds and the judge is imprisoned. Fortunately, the hero escapes and a spectacular and exciting battle between the judge and the evil Rico ensues.
Roll Bounce|Malcolm D. Lee|A young man and his pals rule supreme at their local roller-skating rink, but when the doors close, the boys venture into foreign territory -- uptown's Sweetwater Roller Rink, complete with over-the-top skaters and beautiful girls. Through his preparation for the roller-showdown of the season, the young man manages to find himself and also help his struggling dad get back on track.
Venom|Jim Gillespie|This voodoo horror tale, set deep in the swamps of Louisiana, centers around a group of teenagers, who are trying to uncover the truth behind a friend's mysterious death. What they discover is an evil force worse than anything they could have possibly imagined. Now, they are running for their lives.
The Incredibly True Adventure Of Two Girls In Love|Maria Maggenti|This endearing romantic comedy about two high school girls, blue collar tomboy Randy (Laurel Holloman) and privileged, popular Evie (Nicole Ari Parker), was the first mainstream success for director Maria Maggenti, who chronicles the odd couple's relationship from tentative first steps to full-blossoming romance. Cast almost entirely with newcomers, The Incredibly True Adventure of Two Girls in Love brings Randy's family (a lesbian aunt and an assortment of current and past partners), Evie's well-heeled and overprotective mother (Stephanie Barry), and a collection of friends, enemies, one ex-boyfriend (Andrew Wright), and one unsatisfactory affair (Maggie Moore) into the mix, balancing the excitement and passion of adolescent romance with the pitfalls of social and familial rejection. Maintains a light and quirky tone throughout, reminiscent in many ways of the teen comedies of John Hughes.
Monte Carlo 2011|Thomas Bezucha|Three graduates fulfill their dreams of vacationing in Paris. They accidentally find themselves in a lavish world, where they live like royalty and experience romance. But at the end of their journey, they discover the true magic of friendship. -- 20th Century Fox
Muriels Wedding|P.J. Hogan|A socially inept young woman slowly learns to overcome her insecurities in this sleeper hit from Australia. The unconventional Muriel (Toni Collette) is deeply unsatisfied with her life, stuck in the nowhere town of Porpoise Spit and feeling rejected by her friends and family. Believing herself unattractive and worthless, she seeks meager solace in ABBA songs and fantasies of gorgeous weddings, with herself as the bride. Muriel's life takes a turn for the better, however, when she befriends the carefree Rhonda (Rachel Griffiths), who encourages her to take control of her life. Together, the two women travel to Sydney, where a series of liberating experiences help Muriel develop self-esteem and take the first steps towards maturity. ~ Judd Blaise, Rovi
Hard Candy|David Slade|A teenage girl agrees to meet a thirtysomething fashion photographer in person after becoming acquainted with him in an online chat room, and the resulting encounter finds the line between predator and prey slipping slowly out of focus in director David Slade's provocative and topical thriller. Hayley (Ellen Page) is a 14-year-old teen whose emotional maturity seems to betray her tender age. Jeff (Patrick Wilson) is a potential child predator whose intentions toward his young chat buddy seem less than honorable. After meeting in a coffeehouse and getting to know each other briefly in person, Jeff invites Haley back to his place, and it's not long before Jeff's underage guest is pouring drinks and posing provocatively for an impromptu photo shoot. As the evening's questionable activities take a decidedly sordid slant and the raptorial Jeff appears poised to strike, a sudden turn of events finds that his apparent victim has had a plan of her own from the very beginning. ~ Jason Buchanan, Rovi
Nobodys Fool|Robert Benton|Paul Newman earned an Oscar nomination (and won citations from the New York Film Critics Circle and the Berlin International Film Festival) for his performance in this well-drawn comedy-drama. Sully (Newman) is a 60-year-old man who emotionally seems to have never quite emerged from adolescence; scraping by on part-time work in construction, Sully has built a life around avoiding responsibility. He hasn't spoken with his ex-wife (Elizabeth Wilson) in years, he lives in a rooming house owned by his eighth-grade teacher Mrs. Beryl (Jessica Tandy), his best friend is a mildly retarded handyman, Rub (Pruitt Taylor Vince), and he has a crush on Toby (Melanie Griffith), who is half his age and married to Carl (Bruce Willis), who sometimes gives him work. One day, Sully nearly runs into his son Peter (Dylan Walsh) and discovers that he has a grandson he never knew about; for the first time, Sully finds himself thinking that he ought to start behaving like a grown-up -- or at least get to know his family before it's too late. Nobody's Fool also features Gene Saks as Sully's lawyer Wirf, and Philip Seymour Hoffman as the overly-enthusiastic Officer Raymer.
10011295 Samson And Delilah|Warwick Thornton|Two teenagers find love and look for a place where they can be together in peace in this comedy drama from Australia. Samson (Rowan McNamara) is 15 years old and lives in a shabby town in the outback, where he huffs gasoline to get high, hangs out with his friends, and spends his days goofing off and getting into minor trouble. One day, Samson meets Delilah (Marissa Gibson) at the village market, a girl who follows a different path in life -- she looks after her elderly grandmother (Mitjili Gibson), and helps her create paintings that they sell to tourists to support themselves. While Delilah doesn't have much to say to Samson at first, he's immediately taken with her and shows his affection with a graffiti painting. While she's not willing to admit it at first, Delilah has feelings for him as well, and when her grandmother encourages her to follow her heart, the two begin dating. But life is difficult on the outback, and when they both become victims of violence, Samson and Delilah hit the road and begin looking for a town where they can lead a better life. The first feature film from writer and director Warwick Thornton, Samson & Delilah was an official selection at the 2009 Cannes Film Festival, where it was screened as part of the "Un Certain Regard" program.
Othello|Oliver Parker|Actor Oliver Parker made his directorial debut with this adaptation of the tragic play by William Shakespeare that abridges the original text by half and ups the quotient of sex and violence. Laurence Fishburne stars as the Moorish general Othello, who returns a hero after crushing an invasion attempt by the Turkish army near Cyprus. Pledged to marry the lovely Desdemona (Irene Jacob), Othello ignores the advice of his intended's father, who tells him that she may have a deceptive nature. Othello's aide Iago (Kenneth Branagh), jealous over the elevation of his rival, Cassio (Nathaniel Parker, the director's real-life brother) to lieutenant, begins scheming to make Othello believe that Desdemona and Cassio are carrying on an affair. On the slimmest of evidence, Iago manages to manipulate Othello's suspicious, distrustful nature. Played previously in black face on film by actors Orson Welles and Laurence Olivier, Parker's production of Othello (1995) was the first major cinematic production to cast an African-American in the title role.
La Mort En Direct Death Watch Death In Full View|Bertrand Tavernier|Director Bertrand Tavernier provides an unexpected feminist slant to the otherwise standard sci-fi trappings of Death Watch. Harvey Keitel plays a man of the future who has had a camera implanted in his brain. The mechanism, which is endowed with special X-ray properties, is activated by the user's eyes. Keitel is assigned by ruthless TV producer Harry Dean Stanton to secretly probe the subconscious of a dying woman, played by Romy Schneider. Stanton is only interested in the grim spectacle of what goes on inside the brain of someone who knows she's doomed. Keitel, on the other hand, becomes increasingly compassionate--and disgusted by the tawdriness of his assignment--as he stares into Schneider's tortured psyche. ~ Hal Erickson, Rovi
Vow To Cherish|John Schmidt|Evangelical tale of how the relationships within a Christian family are impacted by devastating medical news. Ellen Brighton: Barbara Babcock. John Brighton: Ken Howard. Alexander Billman: Ossie Davis. Phil Brighton: David Morin. Julia: Donna Bullock. Kyle: David Denman. Teri: Megan Paul.
Shuttered Room|David Greene|Another semi-successful attempt to adapt the works of American fantasist H.P. Lovecraft to the screen, this is loosely based on the short story The Shuttered Room (also an alternate release title for the film), a story which is purported to be more the work of "posthumous collaborator" August Derleth. The story involves a couple's return to the creepy old ancestral home, located on an island in New England, in which they soon discover the dark secret hidden behind a heavily-locked door in the attic... a door the fearful townsfolk declare "must never be opened." Oliver Reed delivers one of his patented gruff, over-the-top performances as the local nutcase, and director David Greene creates a suitably moody atmosphere, but much like the Roger Corman-produced The Dunwich Horror, this film fails to act on the spooky potential of its theme. ~ Cavett Binion, Rovi
The Accident A Moment Of Truth Movie|Chuck Bowman|Una adolescente abandonada por sus amigos, tiene que defenderse después de un mortal accidente automovilístico. Donna Bullock, Matt McCoy, Teddi Siddall, Teryl Rothery, Deanna Milligan, Marisa Rudiak, Bonnie Root.
Race Against Fear|Joseph L. Scanlan|After she is brutally raped by the track coach she trusted, a high-school track runner decides to buck the school, her friends, and even her town to press charges against him.
Bandit Queen|Shekhar Kapur|This gripping Indian-British film relates the true story of Phoolan Devi, an Indian woman arrested in the state of Uttar Pradesh in January 1983 for kidnapping and murder. Dissatisfied with caste-restrictions and her dull marriage, Devi leaves her village and becomes a member of a bloody bandit gang.
Sliding Doors|Peter Howitt|A cleverly conceived romantic comedy that follows a London woman on two hypothetical paths, one where she gets home early and catches her boyfriend in bed with another woman, the other where she doesn't.
Safe|Todd Haynes|A suburban housewife suddenly finds herself "allergic to the 20th century," in this drama. Carol White is a typical upper-middle class suburban housewife. She lives with her husband and step-son in a lovely home in the San Fernando Valley. She is normal in every way as she socializes with friends, eats right, and keeps a good home. But she does have a nagging cough. The cough keeps getting worse and is followed by nosebleeds and violent seizures. The doctors are puzzled but conclude that she, like a growing number, has become hypersensitive to the chemical substances that surround us. Even a whiff of cologne can trigger an allergic reaction in Carol. To find treatment, Carol journeys to New Mexico and enrolls in the Wrenwood Institute, a New Age facility designed for healing people. It is headed by Peter, who promotes self-love.
In The Company Of Men|Neil LaBute|Two frustrated young executives vent their pent-up rage via a childish prank and end up paying a price in this psychological black comedy, the feature-film debut of writer-director Neil LaBute. Former college buddies Chad (Aaron Eckhart) and Howard (Matt Malloy) are in their early 30s and work in the same company. One day the two encounter each other in the men's executive washroom and begin expressing their mutual frustration regarding their lack of rapid advancement at work and their most recent bad luck with women. In hopes of gaining revenge against the fairer sex and bolstering their battered egos, the two hatch a nasty scheme to be enacted over an upcoming six-week-long business trip: Find a vulnerable young woman to court, slather with affection, and then callously dump. They choose a lovely, hearing-impaired typist named Christine (Stacey Edwards), a woman who hasn't dated in many years. Not realizing that she is about to be the metaphorical mouse between a pair of hungry cats, she laps up the sudden attention, but in no time it becomes apparent that Chad is the man she prefers. When Howard discovers this, it creates escalating tension between the two men who begin playing more psychological games, not only with hapless Christine, but also with each other.
Joanna|Michael Sarne|Forgotten 20th Century Fox starlet Geneviève Waïte and forgotten "trendy" director Michael Sarne teamed for the eminently forgettable Joanna. Waïte stars as the title character, a swinging London art student who uses up men like other people use Kleenex. Her carefree lifestyle comes to an end when she is impregnated by Gordon (Calvin Lockhart) -- one of the first black-white relationships in a major motion picture. Joanna frequently becomes a musical, notably in the final sequence, in which the heroine joins in a chorus with the entire cast and production crew Donald Sutherland co-stars as one of Joanna's wealthy paramours. Director Michael Sarne went from Joanna to Myra Breckinridge, then disappeared from view. ~ Hal Erickson, Rovi
Soldiers Revenge|David Worth|Misunderstood and harassed by the locals, a recently returned Vietnam veteran decides to help a young woman fight in a Central American revolution.
Lifeforce|Tobe Hooper|When alien vampires terrorize London, it's up to a determined police inspector and an astronaut to stop them. American and British space travelers discover humanoids while exploring near Halley's Comet. The astronauts bring three of these aliens aboard their spaceship and head back to earth. However, their guests turn out to be evil vampires who kill all but one of the astronauts -- Carlsen. After the ship arrives in London, the monsters -- led by a beautiful female -- escape and wreak havoc throughout the city, transforming humans into zombies. Meanwhile, the surviving astronaut and Caine, a determined police inspector, frantically try to track down the creatures, and destroy them. But the "Space Girl" has a strange hold over Carlsen, and he has trouble fighting the urge to join her.
Octopussy|John Glen|This (13th) time around, 007 (once again played by Roger Moore) receives the usual call to come and visit M when another agent drops off a fake Faberge jeweled egg at the British embassy in East Berlin and is later killed at a traveling circus. Suspicions mount when the assistant manager of the circus Kamal (Louis Jourdan), outbids Bond for the real Faberge piece at Sotheby's. Bond follows Kamal to India where the superspy thwarts many an ingenious attack and encounters the antiheroine of the title (Maud Adams), an international smuggler who runs the circus as a cover for her illegal operations. It does not take long to figure out that Orlov (Steven Berkoff), a decidedly rank Russian general is planning to raise enough money with the fake Faberges to detonate a nuclear bomb in Europe and then defeat NATO forces once and for all in conventional warfare. John Glen returns again to handle directing duties, the second of five Bond films he lensed.
Venom|Piers Haggard|Klaus Kinski and Oliver Reed both look like they'd rather be anywhere else than on the set of Venom. The plot concerns -- surprise -- a deadly black mamba snake (in fact, it's billed as the world's deadliest). A little boy discovers the serpent, shortly before he's nabbed by a bunch of human snakes: terrorists who intend to hold the kid and his family for ransom. One by one, the villains are dispatched by the mamba, who unfortunately plays no favorites so far as victims are concerned. The film's silliest elements are those snake's-eye-view subjective shots. Based on a novel by Alan Scholefield, Venom appears to have been filmed during someone's lunch hour.
Concrete Angels|Carlo Liconti|Set in 1964, a group of four Toronto teens enter a battle of the bands to win an opening spot at a Beatles show. Led by an Italian teenager (Joseph Dimambro), the band just might be successful.
Psyche 59|Alexander Singer|Patricia Neal plays Allison Crawford, a woman who has suffered psychosomatic blindness for a number of years. Upon psychological examination, Allison seems to have a gap in her memory which may reveal the cause of her emotional distress. When she and her husband Eric (Curt Jurgens) move in with her provocative younger sister (Samantha Eggar), Allison uses her ailment as an excuse to do some of her own investigative research. Slowly gaining back her eyesight, Allison finds the missing pieces of her memory. Julian Halevy based her screenplay on Francoise des Ligneris's novel, Psyche 63. Though the titular number is never explained, it has been suggested that it refers to the year in which the lead character suffered her traumatic experience. ~ Kristie Hassen, Rovi
Chillerama|Adam Green|It's the closing night at the last drive-in theater in America and Cecil B. Kaufman (Hatchet's Richard Riehle) has planned the ultimate marathon of lost film prints to unleash upon his faithful cinephile patrons. Four films so rare that they have never been exhibited publicly on American soil until this very night! What could possibly go wrong? -- (C) Official Site
Tales Of The Night|Michel Ocelot|Tales of the Night is renowned animation auteur Michel Ocelot's first foray into 3D animation. A hit at the Berlin Film Festival, the film extends the earlier shadow puppet style of Ocelot's Princes and Princesses, with black silhouetted characters set off against exquisitely detailed Day-Glo backgrounds bursting with color and kaleidoscopic patterns - the subtle use of 3D creating a diorama-like effect. The film weaves together six exotic fables each unfolding in a unique locale, from Tibet, to medieval Europe, an Aztec kingdom, the African plains, and even the Land of the Dead. In Ocelot's storytelling, history blends with fairytale as viewers are whisked off to enchanted lands full of dragons, werewolves, captive princesses, sorcerers, and enormous talking bees - and each fable ends with its own ironic twist. -- (C) GKIDS
Oslo August 31St|Joachim Trier|Thirty-four-year-old Anders (Anders Danielsen Lie) is a fortunate, but deeply troubled man battling drug addiction. As part of his rehabilitation program, he is allowed to go into the city for a job interview, but instead uses the opportunity as a way to drift around and revisit old friends. The day grows increasingly difficult as he struggles to overcome personal demons and past ghosts for the chance at love and a new life. -- (C) Official Site
Natural Selection 2011|Robbie Pickering|Linda White (Rachael Harris), a devoted Christian housewife, leads a sheltered existence in suburban Texas. Her world is turned upside-down when she discovers that her dying husband, Abe, has a 23-year old illegitimate son named Raymond (Matt O'Leary) living in Florida. Somewhere on the edge of guilt and loneliness, Linda grants Abe's final wish and sets off on a quixotic journey to find Raymond and bring him back. Along the way, Linda's wonderfully bizarre relationship with Raymond will teach her more about herself than she ever imagined possible and force her to come to terms with her troubled past. -- (C) Cinema Guild
Dolce Vita|Federico Fellini|In this Federico Fellini film, Marcello Mastrioanni stars as Fellini's alter ego, here depicted as a gossip columnist. Having left his dreary provincial existence behind, Mastrioanni wanders through an ultra-modern, ultra-sophisticated, ultra-decadent Rome. Throughout his adventures, Mastrioanni's dreams, fantasies, nightmares, and fears are mirrored by the hedonism all around him.
Atticus Institute|Chris Sparling|Dr. Henry West founded The Atticus Institute in the early 1970s to test individuals expressing supernatural abilities - E.S.P., clairvoyance, psychokinesis, etc. Despite witnessing several noteworthy cases, nothing could have prepared Dr. West and his colleagues for Judith Winstead. She outperformed every subject they had ever studied - soon gaining the attention of the U.S. Department of Defense, who subsequently took control of the research facility. The more experiments they conducted on Judith, the clearer it became that her abilities were the manifestation of evil forces within her, prompting the government to take measures to weaponize this force. But they soon discovered there are powers that exist in this world that simply cannot be controlled. Now the details of the inexplicable events that occurred within The Atticus Institute are being made public after remaining classified for nearly forty years.
Carry On Dick|Gerald Thomas|In this episode of the long-running British comedy series, the gang lampoons the legendary exploits of highwayman Dick Turpin.
Walter And Henry|Daniel Petrie Sr.|This offbeat made-for-cable comedy/drama concerns Walter and Henry, a father-and-son team of street entertainers who roam from town to town playing music, with few worries and no permanent address. However, when Walter falls ill, its falls to Henry to track down the family they left behind years ago. Walter and Henry stars John Larroquette, Nicholas Braun, Kate Nelligan, and James Coburn.
Dead Before Dawn 3D|April Mullen|Dead Before Dawn 3D follows a bunch of college kids who accidentally break an evil urn and end up inadvertently creating a curse that causes everyone they make eye contact with to kill themselves and turn into Zombie Demons, aka ZEMONS! Now, with only 24 hours to reverse the curse and the fate of the entire world resting on their shoulders, our heroes race through the night in a bloody Winnebago, armed with a slew of homemade weapons, avoiding eye contact, dodging hicky's and seducing Zemons. Will our heroes be able to reverse the curse and save the day or will all of humanity be Dead Before Dawn?! Zombieland meets the Goonies in this blood soaked horror comedy that pits college kids against ZEMONS, the newest monster to join the horror creature lexicon.(c) Official Site
Robbery Roman Style|Adriano Celentano|In this crime drama, two bank robbers foil their own plans to commit the perfect crime when they begin fighting over a woman.
The Amish Not To Be Modern 1988|Victoria Larimore|Because of the Amish's deep belief in biblical commandments, such as the rule against the making of graven images, very few photographic records of their society exist. Filmmakers Victoria Larimore and Michael Taylor portray the life of this separatist community over four seasons. This documentary is an exclusive portrait of the day-to-day life of a traditional community that has preserved its unique heritage. Allowing the Amish to speak for themselves, The Amish: Not to Be Modern offers an opportunity to examine a very particular social experience.
Camp Blood 2000|Brad Sykes|Christened by locals as 'Camp Blood,' four cocksure teens laugh off any dire implications and set off for what they believe will be a fun camping trip. Their confidence diminishes shortly thereafter; it isn't long before a psychotic killer sporting a clown mask claims his first nubile victim. The typical genre story line and fake blood are both prevalent in copious amounts, and the poor friends dwindle in numbers up to the film's gory end. Camp Blood features Brad Sykes, Ron Ford, Jennifer Ritchkoff, and Tim Sullivan. Sykes also wrote and directed.
Princess Of Thieves|Peter Hewitt|In this Disney "revisionist" spin on the ancient Robin Hood legend, Keira Knightley stars as Gwyn, daughter of fabled medieval outlaw Robin O'Locksley (Stuart Wilson). When her dad is captured by the evil Prince John (Jonathan Hyde) after the demise of Richard the Lionhearted, sweet Gwyn pulls a "Joan of Arc," donning the traditional lincoln green, reuniting Robin's Merrie Men, and working overtime persuading Richard's cowardly son, Philip (Stephen Moyer), to return from exile in France. And oh yes, Gwyn is just as proficient with bow and arrow as her celebrated father (as the film's advertising tag assures, "The apple doesn't fall far from the tree" -- thereby bringing William Tell into the equation). Princess of Thieves originally aired March 11, 2001, as a part of the ABC anthology The Wonderful World of Disney.
The Pursuit Of Db Cooper|Roger Spottiswoode|The notorious real-life exploits of daring robber D.B. Cooper provide the basis of this speculative action-comedy. Cooper became almost a folk-hero in the Pacific Northwest when he dove out of a Northwest Airlines jet after threatening to blow up the passenger-filled plane unless he received $200,000 and four parachutes.
Mrs Munck|Diane Ladd|A patient widow finally exacts her revenge upon the much older man who deflowered her and impregnated her in this satirical psychodrama. Mrs. Rose Munck has just lost her husband and is now looking for a boarder. She chooses her crippled, curmudgeonly father-in-law, Patrick Leary -- the wealthiest man in the county. His family is pleased about the arrangement because Mrs. Munck is so sweet and charming. Little do they know that when she was a teen, she and Patrick, then a married man in his 40s, had been lovers and that she had borne a child that later died. For years, she has blamed Patrick for that child's death and now that he is her "guest," she has every intention of getting even. She tells others that the knives, and emotional abuse she inflicts on Leary are designed to help "heal" the crippled man and to coerce him out of his wheelchair. Meanwhile, the story occasionally flashes back to their younger days where she is seen as an innocent with a school-girl crush on the nasty older man. The flashbacks also reveal how the baby died.
Grizzly Rage|David DeCoteau|A group of joyriding high school students inadvertently incur the wrath of mother nature when they run over a bear cub in their car and mama grizzly comes seeking flesh-ripping revenge. Now, as night falls over the forest and the frightened teens scramble for safety, the enraged mother bear comes charging through the trees looking for fresh meat.
Girl In The Box 2016|Stephen Kemp|A hitchhiking woman is abducted by a married couple in 1977 and held captive for seven years. During that time, she's often kept confined to a small coffin-shaped box, and is tortured and forced to live as a slave to her captors.
Private Lies|Ellyn Michaels|A wealthy fashion designer's murder leads to blackmail and erotic passion. Elizabeth Pires, Christian Holmes, Michael Taylor.
Hard 1998|John Hukert|John W. Huckert directed this thriller that begins when bearded Jack (Malcolm Moorman) picks up a young desert hitchhiker. Homosexual homicide detective Ray Vates (Noel Palomaria) hangs out at a bar where his ex, Doug (Arron Zeffron), is the bartender. As a rookie, Ray gets a razzing from other cops, so he doesn't discuss his gay way of life. Meanwhile, with bodies of various hitchhikers surfacing, Ray and his partner Ellis (Charles Lanyer) investigate. Ray's encounter with Jack doesn't go well, since Ray is seduced by Jack, who confesses to the killings but then leaves Ray handcuffed to the bed. It's an awkward situation, since Ray must "out" himself so he won't be viewed as a suspect. Homophobic reactions from the other cops (Ellis excepted) eliminates any possibility of police back-up during the final horrific showdown at an abandoned theater. Shown at the 1998 San Francisco Lesbian & Gay Festival. ~ Bhob Stewart, Rovi
Sorority House Massacre|Carol Frank|While staying in a sorority house, a young woman is terrorized by a mental hospital escapee in this misogynistic thriller directed by Carol Frank.
Sweethearts1996|Aleks Horvat|A young man responds to a personal ad and agrees to go on a blind date in a local coffee shop without suspecting that he is about to embark upon a hellish night-long ordeal. In a dramatic change from the wiseacre comic and romantic roles she has become known for, actress Janeane Garofalo plays Jasmine, the young woman whose apparent loneliness is but a mask for deeper and much darker problems. Set almost entirely in the coffee shop and centering on the dramatic conversations between the distraught Jasmine and her date Arliss (Mitch Rouse) and a couple of employees, the drama has the feel of a filmed play. The seriousness and tragedy inherent in the story is occasionally leavened with flashes of sharp humor.
Scarecrow|Emmanuel Itier|Emanuel Itier writes and directs the low-budget slasher movie Scarecrow, shot on digital video and released straight to DVD. Misfit Lester (Tim Young) is constantly picked on and he ends up getting killed by his mother's boyfriend. His soul inhabits a scarecrow, so he uses his new form to take revenge on the people who picked on him when he was alive. Scarecrow stars Roxanna Bina as Stephanie, Anil de Mello as Greg, and Mark Irvingsen as Farmer Hailey.
Adam Evil|Andrew Van Slee|Andrew Van Slee's horror film Adam & Evil starts with a group of just-graduated former high-school students who decide to go camping to celebrate. The campground becomes terrorized by someone (or something) that was involved in the death of a family that occurred at that same campground years before.
The World According To Dick Cheney|Greg Finton|A profile of the controversial former Vice-President looks at his life from his childhood up to the 9/11 attacks, and the decision to invade Iraq.
An Unreal Dream The Michael Morton Story|Al Reinert|Documentarian Al Reinert's compelling portrait of Michael Morton, a man convicted of brutally beating his wife to death in 1987, suggests that there may have been a miscarriage of justice in Morton's trial and sentencing. Morton has continued to insist he was not responsible for the murder throughout his stay in prison, and hopes his self-proclaimed innocence will help in an inquiry suggesting the prosecutor in his case never turned over information to his defense that may have exonerated him. ~ Tracie Cooper, Rovi
Campus Man|Ron Casden|Todd Barrett (John Dye) is an Arizona State University student who needs money for tuition in this teen comedy. He recruits his handsome friend Bret Wilson (Steve Lyon) from the school diving team to pose for a series of photographs. The enterprising Todd uses the photos to print a calendar that quickly becomes a hot-selling item and ends his financial woes. This feature was shot on location at ASU.
When A Killer Calls|Peter Mervis|A young babysitter prepares to fight for her life upon discovering that the prankster harassing her on the phone is watching her every move.
Real Job|Ana Barredo|A man gives up his dream job for the woman he loves, only to risk losing both her and his old friends in this independent comedy-drama. John St. Clair (Paul Kolsby) works as a clerk as a video store; John loves movies, knows them like the back of his hand, and enjoys his job, but he's fully aware that most folks would think a 38-year-old man ought to be doing something a bit more lucrative and responsible for a living. John is also single and none too thrilled about it, and when he meets Denise Hunter (Sharon Repass), a business executive, he thinks he may have found the woman he's been looking for. John and Denise hit it off, but while Denise is quite taken with John, she isn't sure she can get serious about a middle-aged man who doesn't have a "real job." Nathan (Mark Irvingsen), who knew John from college, steps in to help, and helps John land a job with Goldbar, Inc., a large multimedia firm who are moving into video retailing and marketing. John adjusts smoothly to corporate life, but he suddenly faces a moral dilemma when he learns Goldbar wants to buy up the independent video store where he worked and put it out of business, leaving his friend Vinny (Alan Natale) and boss Hrundi (Pramod Mishrekar) with nowhere to go. He also finds his new goal-oriented personality doesn't agree with Denise.
One Crazy Summer|Savage Steve Holland|In this sophomoric comedy, a teenage dweeb and his buddies have summer fun on Nantucket while preparing for college in the fall.
Sweethearts|Aleks Horvat|Arliss second-guesses his decision to place a personal ad when Jasmine, his date, turns out to be a quirky, gun wielding woman whose initial intention was to mock his desperation.
Police Academy 3 Back In Training|Jerry Paris|The third in the slapstick Police Academy series finds many of the titular school's original graduates returning in order to help save their beloved, if painfully inept, institution. To that end, they band together with the new recruits to participate in a make-or-break competition against a rival school.
Get Smarts Bruce And Loyd Out Of Control|Gil Junger|Bumbling R&D; inventors (Masi Oka) and Lloyd (Nate Torrence) get out of the lab and into the field as they search to locate latest invention - which has somehow gone missing. When you're used to spending your day inventing the most cutting edge spy equipment known to man, adapting the stealth and guile needed to become a true secret agent doesn't come naturally. Unfortunately the invisibility cloak that the pair recently collaborated on has disappeared, and in order to ensure that it doesn't fall into the hands of KAOS they will have to master the skills of a true spy. But how exactly does one find an object that's invisible to begin with? As the search gets underway, these brainy inventors are given an eye-opening crash course in high-level espionage. Patrick Warburton and Larry Miller co-star in a feature-length comedy that includes surprise cameos from the stars of the 2008 film Get Smart.
